DATE,DPCERD3A086NBEA,DPCERD3A086NBEA_CHG,DPCERD3A086NBEA_PCH
1929-01-01,9.314,#N/A,#N/A
1930-01-01,8.920,-0.394,-4.2
1931-01-01,7.965,-0.955,-10.7
1932-01-01,7.024,-0.941,-11.8
1933-01-01,6.774,-0.250,-3.6
1934-01-01,7.081,0.307,4.5
1935-01-01,7.256,0.175,2.5
1936-01-01,7.323,0.067,0.9
1937-01-01,7.590,0.267,3.6
1938-01-01,7.417,-0.173,-2.3
1939-01-01,7.345,-0.072,-1.0
1940-01-01,7.407,0.062,0.8
1941-01-01,7.868,0.461,6.2
1942-01-01,8.847,0.979,12.4
1943-01-01,9.661,0.814,9.2
1944-01-01,10.216,0.555,5.7
1945-01-01,10.625,0.409,4.0
1946-01-01,11.364,0.739,7.0
1947-01-01,12.517,1.153,10.1
1948-01-01,13.225,0.708,5.7
1949-01-01,13.122,-0.103,-0.8
1950-01-01,13.278,0.156,1.2
1951-01-01,14.182,0.904,6.8
1952-01-01,14.473,0.291,2.1
1953-01-01,14.663,0.190,1.3
1954-01-01,14.787,0.124,0.8
1955-01-01,14.845,0.058,0.4
1956-01-01,15.140,0.295,2.0
1957-01-01,15.600,0.460,3.0
1958-01-01,15.969,0.369,2.4
1959-01-01,16.207,0.238,1.5
1960-01-01,16.473,0.266,1.6
1961-01-01,16.644,0.171,1.0
1962-01-01,16.839,0.195,1.2
1963-01-01,17.040,0.201,1.2
1964-01-01,17.287,0.247,1.4
1965-01-01,17.536,0.249,1.4
1966-01-01,17.979,0.443,2.5
1967-01-01,18.431,0.452,2.5
1968-01-01,19.152,0.721,3.9
1969-01-01,20.015,0.863,4.5
1970-01-01,20.951,0.936,4.7
1971-01-01,21.841,0.890,4.2
1972-01-01,22.586,0.745,3.4
1973-01-01,23.802,1.216,5.4
1974-01-01,26.280,2.478,10.4
1975-01-01,28.470,2.190,8.3
1976-01-01,30.032,1.562,5.5
1977-01-01,31.986,1.954,6.5
1978-01-01,34.211,2.225,7.0
1979-01-01,37.251,3.040,8.9
1980-01-01,41.262,4.011,10.8
1981-01-01,44.958,3.696,9.0
1982-01-01,47.456,2.498,5.6
1983-01-01,49.474,2.018,4.3
1984-01-01,51.343,1.869,3.8
1985-01-01,53.134,1.791,3.5
1986-01-01,54.290,1.156,2.2
1987-01-01,55.964,1.674,3.1
1988-01-01,58.151,2.187,3.9
1989-01-01,60.690,2.539,4.4
1990-01-01,63.355,2.665,4.4
1991-01-01,65.473,2.118,3.3
1992-01-01,67.218,1.745,2.7
1993-01-01,68.892,1.674,2.5
1994-01-01,70.330,1.438,2.1
1995-01-01,71.811,1.481,2.1
1996-01-01,73.346,1.535,2.1
1997-01-01,74.623,1.277,1.7
1998-01-01,75.216,0.593,0.8
1999-01-01,76.338,1.122,1.5
2000-01-01,78.235,1.897,2.5
2001-01-01,79.738,1.503,1.9
2002-01-01,80.789,1.051,1.3
2003-01-01,82.358,1.569,1.9
2004-01-01,84.411,2.053,2.5
2005-01-01,86.812,2.401,2.8
2006-01-01,89.174,2.362,2.7
2007-01-01,91.438,2.264,2.5
2008-01-01,94.180,2.742,3.0
2009-01-01,94.094,-0.086,-0.1
2010-01-01,95.705,1.611,1.7
2011-01-01,98.131,2.426,2.5
2012-01-01,100.000,1.869,1.9
2013-01-01,101.346,1.346,1.3
2014-01-01,102.830,1.484,1.5
2015-01-01,103.043,0.213,0.2
2016-01-01,104.121,1.078,1.0
2017-01-01,105.984,1.863,1.8
2018-01-01,108.239,2.255,2.1
2019-01-01,109.851,1.612,1.5
